,Read,Cell_line,Name,Type,Breaks,Frequency_wt,Frequency_db,Ratio
0,R1,WT,EE4,exon_exon,2dsb,0.008749999999999975,0.00591666666666665,1.4788732394366197
1,R2,WT,EE4R,exon_exon,2dsb,0.008833333333333275,0.0060833333333333,1.4520547945205462
