Library	flipped_intron_count	flipped_intron_freq
db1	18	0.006
db2	16	0.005333333333333333
db3	28	0.009333333333333334
db4	18	0.006
dcmv1	1	0.0003333333333333333
dcmv2	4	0.0013333333333333333
dcmv3	2	0.0006666666666666666
dcmv4	10	0.0033333333333333335
sense1	4	0.0013333333333333333
sense2	3	0.001
sense3	5	0.0016666666666666668
sense4	8	0.0026666666666666666
