yjl442	OX	wt	2dsb
yjl443	OX	wt	2dsb
yjl444	OX	wt	2dsb
yjl445	OX	wt	2dsb
yjl446	OX	db	2dsb
yjl447	OX	db	2dsb
yjl448	OX	db	2dsb
yjl449	OX	db	2dsb
yjl450	OX	dcmv	2dsb
yjl451	OX	dcmv	2dsb
yjl452	OX	dcmv	2dsb
yjl453	OX	dcmv	2dsb
yjl454	WT	wt	2dsb
yjl455	WT	wt	2dsb
yjl456	WT	wt	2dsb
yjl457	WT	wt	2dsb
yjl458	WT	db	2dsb
yjl459	WT	db	2dsb
yjl460	WT	db	2dsb
yjl461	WT	db	2dsb
yjl462	WT	dcmv	2dsb
yjl463	WT	dcmv	2dsb
yjl464	WT	dcmv	2dsb
yjl465	WT	dcmv	2dsb
