yjl255	WT	wt	hg39
yjl256	WT	wt	hg39
yjl257	WT	wt	hg39
yjl258	WT	wt	hg39
yjl259	WT	db	hg39
yjl260	WT	db	hg39
yjl261	WT	db	hg39
yjl262	WT	db	hg39
yjl263	WT	dcmv	hg39
yjl264	WT	dcmv	hg39
yjl265	WT	dcmv	hg39
yjl266	WT	dcmv	hg39
yjl267	WT	wt	hg42
yjl268	WT	wt	hg42
yjl269	WT	wt	hg42
yjl270	WT	wt	hg42
yjl271	WT	db	hg42
yjl272	WT	db	hg42
yjl273	WT	db	hg42
yjl274	WT	db	hg42
yjl275	WT	dcmv	hg42
yjl276	WT	dcmv	hg42
yjl277	WT	dcmv	hg42
yjl278	WT	dcmv	hg42
yjl292	KO	wt	hg39
yjl293	KO	wt	hg39
yjl294	KO	wt	hg39
yjl295	KO	wt	hg39
yjl296	KO	db	hg39
yjl297	KO	db	hg39
yjl298	KO	db	hg39
yjl299	KO	db	hg39
yjl300	KO	dcmv	hg39
yjl301	KO	dcmv	hg39
yjl302	KO	dcmv	hg39
yjl303	KO	dcmv	hg39
yjl304	KO	wt	hg42
yjl305	KO	wt	hg42
yjl306	KO	wt	hg42
yjl307	KO	wt	hg42
yjl308	KO	db	hg42
yjl309	KO	db	hg42
yjl310	KO	db	hg42
yjl311	KO	db	hg42
yjl312	KO	dcmv	hg42
yjl313	KO	dcmv	hg42
yjl314	KO	dcmv	hg42
yjl315	KO	dcmv	hg42
yjl217	WT	wt	2dsb
yjl218	WT	wt	2dsb
yjl219	WT	wt	2dsb
yjl220	WT	wt	2dsb
yjl221	WT	db	2dsb
yjl222	WT	db	2dsb
yjl223	WT	db	2dsb
yjl224	WT	db	2dsb
yjl225	WT	dcmv	2dsb
yjl226	WT	dcmv	2dsb
yjl227	WT	dcmv	2dsb
yjl228	WT	dcmv	2dsb
yjl229	KO	wt	2dsb
yjl230	KO	wt	2dsb
yjl231	KO	wt	2dsb
yjl232	KO	wt	2dsb
yjl233	KO	db	2dsb
yjl234	KO	db	2dsb
yjl235	KO	db	2dsb
yjl236	KO	db	2dsb
yjl237	KO	dcmv	2dsb
yjl238	KO	dcmv	2dsb
yjl239	KO	dcmv	2dsb
yjl240	KO	dcmv	2dsb
