Library	with_intron	w/o_intron
db1	0.7426666666666667	0.25733333333333336
db2	0.7466666666666667	0.25333333333333335
db3	0.722	0.278
db4	0.7186666666666667	0.2813333333333333
dcmv1	0.428	0.572
dcmv2	0.428	0.572
dcmv3	0.466	0.534
dcmv4	0.4683333333333333	0.5316666666666666
sense1	0.5216666666666666	0.47833333333333333
sense2	0.4706666666666667	0.5293333333333333
sense3	0.483	0.517
sense4	0.49333333333333335	0.5066666666666667
