Library	with_intron	w/o_intron
db1	0.7483333333333333	0.25166666666666665
db2	0.7516666666666667	0.24833333333333332
db3	0.7243333333333334	0.27566666666666667
db4	0.722	0.278
dcmv1	0.42233333333333334	0.5776666666666667
dcmv2	0.426	0.574
dcmv3	0.46166666666666667	0.5383333333333333
dcmv4	0.4646666666666667	0.5353333333333333
sense1	0.5163333333333333	0.4836666666666667
sense2	0.471	0.529
sense3	0.4756666666666667	0.5243333333333333
sense4	0.49433333333333335	0.5056666666666667
