"library"	"strand"	"control"	"total_nhej"	"total_nhej_no_mut"	"total_nhej_yes_mut"
"yjl294"	"R1"	"none"	8444071	8266532	177539
"yjl294"	"R1"	"30bpDown"	8266553	8266532	21
"yjl295"	"R1"	"none"	8773087	8596386	176701
"yjl295"	"R1"	"30bpDown"	8596424	8596386	38
"yjl296"	"R1"	"none"	10808448	10520293	288155
"yjl296"	"R1"	"30bpDown"	10520339	10520293	46
"yjl297"	"R1"	"none"	11009229	10667498	341731
"yjl297"	"R1"	"30bpDown"	10667538	10667498	40
"yjl298"	"R1"	"none"	12140240	11799115	341125
"yjl298"	"R1"	"30bpDown"	11799153	11799115	38
"yjl299"	"R1"	"none"	11394313	11076162	318151
"yjl299"	"R1"	"30bpDown"	11076196	11076162	34
"yjl300"	"R1"	"none"	9649217	9435291	213926
"yjl300"	"R1"	"30bpDown"	9435327	9435291	36
"yjl301"	"R1"	"none"	10122653	9923373	199280
"yjl301"	"R1"	"30bpDown"	9923405	9923373	32
"yjl302"	"R1"	"none"	9118948	8875467	243481
"yjl302"	"R1"	"30bpDown"	8875501	8875467	34
"yjl303"	"R1"	"none"	8428228	8207506	220722
"yjl303"	"R1"	"30bpDown"	8207534	8207506	28
"yjl304"	"R2"	"none"	6086155	5879713	206442
"yjl304"	"R2"	"30bpDown"	5880169	5879713	456
"yjl305"	"R2"	"none"	6678429	6463788	214641
"yjl305"	"R2"	"30bpDown"	6464312	6463788	524
"yjl306"	"R2"	"none"	6762492	6588274	174218
"yjl306"	"R2"	"30bpDown"	6588763	6588274	489
"yjl307"	"R2"	"none"	6227147	6011701	215446
"yjl307"	"R2"	"30bpDown"	6012181	6011701	480
"yjl308"	"R2"	"none"	9489778	9103380	386398
"yjl308"	"R2"	"30bpDown"	9103678	9103380	298
"yjl309"	"R2"	"none"	10108064	9666464	441600
"yjl309"	"R2"	"30bpDown"	9666751	9666464	287
"yjl310"	"R2"	"none"	9497412	9083101	414311
"yjl310"	"R2"	"30bpDown"	9083417	9083101	316
"yjl311"	"R2"	"none"	9970454	9616099	354355
"yjl311"	"R2"	"30bpDown"	9616384	9616099	285
"yjl312"	"R2"	"none"	6423271	6262895	160376
"yjl312"	"R2"	"30bpDown"	6263378	6262895	483
"yjl313"	"R2"	"none"	6187994	6127537	60457
"yjl313"	"R2"	"30bpDown"	6128007	6127537	470
"yjl314"	"R2"	"none"	7013588	6928446	85142
"yjl314"	"R2"	"30bpDown"	6928978	6928446	532
"yjl315"	"R2"	"none"	6151781	6047135	104646
"yjl315"	"R2"	"30bpDown"	6047628	6047135	493
"yjl89"	"R1"	"none"	3582639	707466	2875173
"yjl89"	"R2"	"none"	3468658	683766	2784892
"yjl90"	"R1"	"none"	3055760	595035	2460725
"yjl90"	"R2"	"none"	2976887	578114	2398773
"yjl91"	"R1"	"none"	3541138	683555	2857583
"yjl91"	"R2"	"none"	3447214	662245	2784969
"yjl92"	"R1"	"none"	2012699	411383	1601316
"yjl92"	"R2"	"none"	1967723	399596	1568127
"yjl93"	"R1"	"none"	2486047	362703	2123344
"yjl93"	"R2"	"none"	2373664	365512	2008152
"yjl94"	"R1"	"none"	2825589	405633	2419956
"yjl94"	"R2"	"none"	2698041	406526	2291515
"yjl95"	"R1"	"none"	2237961	339236	1898725
"yjl95"	"R2"	"none"	2157575	339109	1818466
"yjl96"	"R1"	"none"	2389352	392006	1997346
"yjl96"	"R2"	"none"	2328392	391775	1936617
