library_name	ref_seq_file	sam_file
yjl256	1DSB_R1_sense.fa	yjl256_WT_sgA_R1_sense_30bpDown.sam
yjl257	1DSB_R1_sense.fa	yjl257_WT_sgA_R1_sense.sam
yjl257	1DSB_R1_sense.fa	yjl257_WT_sgA_R1_sense_30bpDown.sam
yjl258	1DSB_R1_sense.fa	yjl258_WT_sgA_R1_sense.sam
yjl258	1DSB_R1_sense.fa	yjl258_WT_sgA_R1_sense_30bpDown.sam
yjl259	1DSB_R1_branch.fa	yjl259_WT_sgA_R1_branch.sam
yjl259	1DSB_R1_branch.fa	yjl259_WT_sgA_R1_branch_30bpDown.sam
yjl260	1DSB_R1_branch.fa	yjl260_WT_sgA_R1_branch.sam
yjl260	1DSB_R1_branch.fa	yjl260_WT_sgA_R1_branch_30bpDown.sam
yjl261	1DSB_R1_branch.fa	yjl261_WT_sgA_R1_branch.sam
yjl261	1DSB_R1_branch.fa	yjl261_WT_sgA_R1_branch_30bpDown.sam
yjl262	1DSB_R1_branch.fa	yjl262_WT_sgA_R1_branch.sam
yjl262	1DSB_R1_branch.fa	yjl262_WT_sgA_R1_branch_30bpDown.sam
yjl263	1DSB_R1_cmv.fa	yjl263_WT_sgA_R1_cmv.sam
yjl263	1DSB_R1_cmv.fa	yjl263_WT_sgA_R1_cmv_30bpDown.sam
yjl264	1DSB_R1_cmv.fa	yjl264_WT_sgA_R1_cmv.sam
yjl264	1DSB_R1_cmv.fa	yjl264_WT_sgA_R1_cmv_30bpDown.sam
yjl265	1DSB_R1_cmv.fa	yjl265_WT_sgA_R1_cmv.sam
yjl265	1DSB_R1_cmv.fa	yjl265_WT_sgA_R1_cmv_30bpDown.sam
yjl266	1DSB_R1_cmv.fa	yjl266_WT_sgA_R1_cmv.sam
yjl266	1DSB_R1_cmv.fa	yjl266_WT_sgA_R1_cmv_30bpDown.sam
yjl267	1DSB_R2_sense.fa	yjl267_WT_sgB_R2_sense.sam
yjl267	1DSB_R2_sense.fa	yjl267_WT_sgB_R2_sense_30bpDown.sam
yjl268	1DSB_R2_sense.fa	yjl268_WT_sgB_R2_sense.sam
yjl268	1DSB_R2_sense.fa	yjl268_WT_sgB_R2_sense_30bpDown.sam
yjl269	1DSB_R2_sense.fa	yjl269_WT_sgB_R2_sense.sam
yjl269	1DSB_R2_sense.fa	yjl269_WT_sgB_R2_sense_30bpDown.sam
yjl270	1DSB_R2_sense.fa	yjl270_WT_sgB_R2_sense.sam
yjl270	1DSB_R2_sense.fa	yjl270_WT_sgB_R2_sense_30bpDown.sam
yjl271	1DSB_R2_branch.fa	yjl271_WT_sgB_R2_branch.sam
yjl271	1DSB_R2_branch.fa	yjl271_WT_sgB_R2_branch_30bpDown.sam
yjl272	1DSB_R2_branch.fa	yjl272_WT_sgB_R2_branch.sam
yjl272	1DSB_R2_branch.fa	yjl272_WT_sgB_R2_branch_30bpDown.sam
yjl273	1DSB_R2_branch.fa	yjl273_WT_sgB_R2_branch.sam
yjl273	1DSB_R2_branch.fa	yjl273_WT_sgB_R2_branch_30bpDown.sam
yjl274	1DSB_R2_branch.fa	yjl274_WT_sgB_R2_branch.sam
yjl274	1DSB_R2_branch.fa	yjl274_WT_sgB_R2_branch_30bpDown.sam
yjl275	1DSB_R2_cmv.fa	yjl275_WT_sgB_R2_cmv.sam
yjl275	1DSB_R2_cmv.fa	yjl275_WT_sgB_R2_cmv_30bpDown.sam
yjl276	1DSB_R2_cmv.fa	yjl276_WT_sgB_R2_cmv.sam
yjl276	1DSB_R2_cmv.fa	yjl276_WT_sgB_R2_cmv_30bpDown.sam
yjl277	1DSB_R2_cmv.fa	yjl277_WT_sgB_R2_cmv.sam
yjl277	1DSB_R2_cmv.fa	yjl277_WT_sgB_R2_cmv_30bpDown.sam
yjl278	1DSB_R2_cmv.fa	yjl278_WT_sgB_R2_cmv.sam
yjl278	1DSB_R2_cmv.fa	yjl278_WT_sgB_R2_cmv_30bpDown.sam
yjl281	1DSB_R1_sense.fa	yjl281_KO_sgA_R1_sense_noDSB.sam
yjl281	1DSB_R2_sense.fa	yjl281_KO_sgB_R2_sense_noDSB.sam
yjl282	1DSB_R1_branch.fa	yjl282_KO_sgA_R1_branch_noDSB.sam
yjl282	1DSB_R2_branch.fa	yjl282_KO_sgB_R2_branch_noDSB.sam
yjl283	1DSB_R1_cmv.fa	yjl283_KO_sgA_R1_cmv_noDSB.sam
yjl283	1DSB_R2_cmv.fa	yjl283_KO_sgB_R2_cmv_noDSB.sam
yjl292	1DSB_R1_sense.fa	yjl292_KO_sgA_R1_sense.sam
yjl292	1DSB_R1_sense.fa	yjl292_KO_sgA_R1_sense_30bpDown.sam
yjl293	1DSB_R1_sense.fa	yjl293_KO_sgA_R1_sense.sam
yjl293	1DSB_R1_sense.fa	yjl293_KO_sgA_R1_sense_30bpDown.sam
yjl294	1DSB_R1_sense.fa	yjl294_KO_sgA_R1_sense.sam
yjl294	1DSB_R1_sense.fa	yjl294_KO_sgA_R1_sense_30bpDown.sam
yjl295	1DSB_R1_sense.fa	yjl295_KO_sgA_R1_sense.sam
yjl295	1DSB_R1_sense.fa	yjl295_KO_sgA_R1_sense_30bpDown.sam
yjl296	1DSB_R1_branch.fa	yjl296_KO_sgA_R1_branch.sam
yjl296	1DSB_R1_branch.fa	yjl296_KO_sgA_R1_branch_30bpDown.sam
yjl297	1DSB_R1_branch.fa	yjl297_KO_sgA_R1_branch.sam
yjl297	1DSB_R1_branch.fa	yjl297_KO_sgA_R1_branch_30bpDown.sam
yjl298	1DSB_R1_branch.fa	yjl298_KO_sgA_R1_branch.sam
yjl298	1DSB_R1_branch.fa	yjl298_KO_sgA_R1_branch_30bpDown.sam
yjl299	1DSB_R1_branch.fa	yjl299_KO_sgA_R1_branch.sam
yjl299	1DSB_R1_branch.fa	yjl299_KO_sgA_R1_branch_30bpDown.sam
yjl300	1DSB_R1_cmv.fa	yjl300_KO_sgA_R1_cmv.sam
yjl300	1DSB_R1_cmv.fa	yjl300_KO_sgA_R1_cmv_30bpDown.sam
yjl301	1DSB_R1_cmv.fa	yjl301_KO_sgA_R1_cmv.sam
yjl301	1DSB_R1_cmv.fa	yjl301_KO_sgA_R1_cmv_30bpDown.sam
yjl302	1DSB_R1_cmv.fa	yjl302_KO_sgA_R1_cmv.sam
yjl302	1DSB_R1_cmv.fa	yjl302_KO_sgA_R1_cmv_30bpDown.sam
yjl303	1DSB_R1_cmv.fa	yjl303_KO_sgA_R1_cmv.sam
yjl303	1DSB_R1_cmv.fa	yjl303_KO_sgA_R1_cmv_30bpDown.sam
yjl304	1DSB_R2_sense.fa	yjl304_KO_sgB_R2_sense.sam
yjl304	1DSB_R2_sense.fa	yjl304_KO_sgB_R2_sense_30bpDown.sam
yjl305	1DSB_R2_sense.fa	yjl305_KO_sgB_R2_sense.sam
yjl305	1DSB_R2_sense.fa	yjl305_KO_sgB_R2_sense_30bpDown.sam
yjl306	1DSB_R2_sense.fa	yjl306_KO_sgB_R2_sense.sam
yjl306	1DSB_R2_sense.fa	yjl306_KO_sgB_R2_sense_30bpDown.sam
yjl307	1DSB_R2_sense.fa	yjl307_KO_sgB_R2_sense.sam
yjl307	1DSB_R2_sense.fa	yjl307_KO_sgB_R2_sense_30bpDown.sam
yjl308	1DSB_R2_branch.fa	yjl308_KO_sgB_R2_branch.sam
yjl308	1DSB_R2_branch.fa	yjl308_KO_sgB_R2_branch_30bpDown.sam
yjl309	1DSB_R2_branch.fa	yjl309_KO_sgB_R2_branch.sam
yjl309	1DSB_R2_branch.fa	yjl309_KO_sgB_R2_branch_30bpDown.sam
yjl310	1DSB_R2_branch.fa	yjl310_KO_sgB_R2_branch.sam
yjl310	1DSB_R2_branch.fa	yjl310_KO_sgB_R2_branch_30bpDown.sam
yjl311	1DSB_R2_branch.fa	yjl311_KO_sgB_R2_branch.sam
yjl311	1DSB_R2_branch.fa	yjl311_KO_sgB_R2_branch_30bpDown.sam
yjl312	1DSB_R2_cmv.fa	yjl312_KO_sgB_R2_cmv.sam
yjl312	1DSB_R2_cmv.fa	yjl312_KO_sgB_R2_cmv_30bpDown.sam
yjl313	1DSB_R2_cmv.fa	yjl313_KO_sgB_R2_cmv.sam
yjl313	1DSB_R2_cmv.fa	yjl313_KO_sgB_R2_cmv_30bpDown.sam
